t,area,nCasesByAge_1,nCasesByAge_2,nCasesByAge_3,nCasesByAge_4,nCasesByAge_5,nCasesByAge_6,nCasesByAge_7,nCasesByAge_8,nCasesByAge_9,nCasesByAge_10,nHospByAge_DOR_1,nHospByAge_DOR_2,nHospByAge_DOR_3,nHospByAge_DOR_4,nHospByAge_DOR_5,nHospByAge_DOR_6,nHospByAge_DOR_7,nHospByAge_DOR_8,nHospByAge_DOR_9,nHospByAge_DOR_10,nHospByAge_DOA_1,nHospByAge_DOA_2,nHospByAge_DOA_3,nHospByAge_DOA_4,nHospByAge_DOA_5,nHospByAge_DOA_6,nHospByAge_DOA_7,nHospByAge_DOA_8,nHospByAge_DOA_9,nHospByAge_DOA_10,nDiscByAge_1,nDiscByAge_2,nDiscByAge_3,nDiscByAge_4,nDiscByAge_5,nDiscByAge_6,nDiscByAge_7,nDiscByAge_8,nDiscByAge_9,nDiscByAge_10
04-Mar-2022,National,1981,3557,4381,3489,2597,1685,829,297,105,20,18,12,11,7,20,25,18,15,15,5,26,9,19,12,11,27,20,15,8,6,20,7,15,19,10,18,16,9,6,4
05-Mar-2022,National,1794,2962,3346,2751,2034,1339,651,277,83,11,23,9,21,13,10,23,22,11,7,2,22,12,12,16,11,20,14,6,9,3,14,11,19,14,14,19,11,5,3,0
06-Mar-2022,National,1825,3526,3755,3276,2365,1599,764,294,74,13,19,11,14,20,21,10,11,23,5,3,19,6,19,13,12,18,15,25,10,3,27,4,15,12,6,13,8,5,4,0
07-Mar-2022,National,2423,4621,5235,4499,3253,2219,1159,373,125,20,20,8,23,18,22,25,25,10,12,4,18,11,11,16,26,22,21,13,12,4,17,13,14,19,25,23,19,18,13,4
08-Mar-2022,National,2310,4257,5074,4132,3190,1952,1074,355,115,22,21,14,15,20,20,23,19,29,21,3,17,16,18,15,24,26,19,23,13,6,19,12,15,14,22,24,16,16,9,3
09-Mar-2022,National,1983,3868,4713,3964,3089,2021,936,331,110,23,19,6,21,22,16,28,15,18,12,7,21,4,20,15,17,19,23,12,14,6,22,9,16,15,14,25,11,13,9,6
10-Mar-2022,National,2543,3852,4071,3806,3038,1963,1111,452,187,35,28,8,12,20,11,25,18,22,14,4,33,11,14,20,16,18,21,25,9,3,21,10,17,17,23,18,16,11,18,4
11-Mar-2022,National,2635,3553,3403,3246,2630,1764,935,400,134,23,26,4,11,20,19,21,17,22,11,3,23,12,13,20,21,28,14,16,13,3,26,12,13,21,21,25,19,22,16,5
12-Mar-2022,National,1962,2755,2639,2484,2080,1384,738,329,111,29,22,10,13,12,18,20,16,13,17,3,20,7,14,16,15,19,19,15,13,0,24,7,16,12,21,16,14,8,6,1
13-Mar-2022,National,2077,3001,2771,2825,2266,1453,804,279,88,16,33,8,12,17,19,13,17,17,15,3,31,7,9,19,14,17,17,19,16,6,29,9,8,18,15,13,14,10,5,0
14-Mar-2022,National,2880,4198,3876,3879,3070,2022,1114,426,155,32,24,11,13,12,21,14,19,18,9,2,28,10,22,12,22,19,15,15,13,3,24,11,17,13,14,22,20,17,8,3
15-Mar-2022,National,2575,3666,3709,3463,2830,1757,981,355,147,36,23,10,12,20,16,16,26,22,14,6,26,11,16,22,20,16,28,24,15,1,28,11,17,19,18,27,19,23,18,3
16-Mar-2022,National,2375,3592,3701,3645,2862,1825,1000,393,151,39,20,6,13,14,17,13,20,18,11,6,21,7,6,15,17,16,16,14,15,5,19,11,7,18,15,21,23,28,18,5
17-Mar-2022,National,2426,3009,2907,3036,2568,1707,874,359,160,41,24,5,11,15,11,17,10,10,17,5,20,7,15,15,13,19,11,21,14,4,20,5,13,13,14,16,18,15,10,2
18-Mar-2022,National,2394,2800,2556,2730,2241,1513,817,390,132,32,20,10,11,14,14,13,17,16,13,6,24,7,10,18,14,13,16,12,13,0,21,4,15,15,21,18,13,16,9,2
19-Mar-2022,National,1888,2252,1930,2112,1788,1148,572,227,82,25,21,3,3,12,9,14,6,9,8,2,20,6,7,16,14,15,8,8,12,2,22,8,11,17,12,14,7,10,5,0
20-Mar-2022,National,2119,2769,2448,2593,2159,1272,677,305,103,25,24,3,8,11,11,15,9,7,14,1,24,6,10,11,7,11,13,8,10,2,20,4,8,13,8,8,4,6,2,0
21-Mar-2022,National,3204,4000,3542,3678,3086,1868,950,447,146,37,23,7,13,13,12,20,17,21,15,5,20,6,9,10,13,23,19,17,15,2,22,7,10,13,14,14,18,17,16,3
22-Mar-2022,National,2888,3660,3593,3643,2895,1815,986,430,172,54,21,4,10,16,13,15,20,17,13,2,20,2,9,23,13,9,24,16,13,3,26,2,13,17,15,20,25,13,16,4
23-Mar-2022,National,2449,3151,3411,3461,2732,1717,938,408,155,43,33,6,4,18,15,19,11,21,8,2,24,6,6,16,8,14,9,12,4,2,22,10,8,15,10,21,16,15,18,3
24-Mar-2022,National,2331,2821,2689,2763,2491,1487,831,336,141,35,12,9,9,7,9,17,16,12,7,1,24,9,12,9,15,23,14,19,8,4,25,3,10,16,13,14,15,18,12,6
25-Mar-2022,National,2188,2474,2284,2411,2188,1358,749,354,142,29,23,10,12,6,10,14,13,19,5,2,23,9,11,9,9,15,12,20,8,2,28,11,11,14,11,18,22,15,22,6
26-Mar-2022,National,1745,1894,1675,1849,1571,997,582,234,97,19,16,7,5,13,5,4,9,10,9,3,13,5,3,11,6,8,7,12,10,3,15,7,4,16,4,9,7,12,2,3
27-Mar-2022,National,1961,2291,1888,2287,1848,1218,663,249,79,24,16,7,7,6,1,13,9,6,8,5,19,7,7,5,5,14,9,12,12,3,13,5,6,5,7,14,9,6,5,3
28-Mar-2022,National,2747,3112,2736,2948,2510,1620,938,369,159,43,20,8,10,12,13,12,20,17,14,6,15,12,14,8,11,12,17,14,9,4,21,5,13,11,13,17,18,23,19,6
29-Mar-2022,National,2301,2777,2778,2859,2355,1496,871,353,137,37,11,10,5,13,10,19,18,15,13,4,11,9,6,11,8,22,21,15,6,3,15,13,6,9,10,18,20,15,10,7
30-Mar-2022,National,2075,2481,2639,2828,2378,1481,862,361,154,30,24,7,7,9,17,9,12,18,13,6,18,7,4,15,20,9,12,15,9,6,16,10,5,12,11,13,15,19,6,4
31-Mar-2022,National,2015,2180,2183,2449,2064,1342,751,350,149,40,16,4,3,10,12,15,13,8,11,3,20,5,4,11,9,14,13,7,11,3,18,7,6,12,12,12,13,19,16,2
01-Apr-2022,National,1835,1983,1728,2065,1757,1160,638,327,132,35,19,6,4,8,7,11,9,6,13,4,24,2,4,9,8,10,16,12,15,5,22,5,5,10,14,16,17,21,11,2
02-Apr-2022,National,1391,1541,1296,1492,1346,899,532,230,82,23,20,5,9,2,7,4,13,4,8,4,17,6,4,3,5,9,11,8,13,3,11,5,3,6,7,9,10,9,3,4
03-Apr-2022,National,1580,1725,1590,1816,1587,1030,608,215,75,24,14,2,5,6,5,2,9,9,10,4,19,5,10,7,6,7,5,12,6,4,18,3,10,3,4,8,7,2,8,0
04-Apr-2022,National,2249,2478,2145,2519,2041,1415,822,361,130,29,14,3,5,10,14,16,17,11,6,0,15,2,9,10,16,16,17,5,14,3,14,1,6,8,16,9,21,12,19,8
05-Apr-2022,National,1922,2055,2073,2250,1857,1236,739,345,143,35,11,4,9,10,8,12,11,10,11,4,13,5,9,10,10,20,13,12,7,2,14,3,7,13,8,22,8,15,16,10
06-Apr-2022,National,1561,1758,2026,2168,1796,1170,785,274,126,40,16,0,10,4,7,11,9,15,5,6,14,3,7,6,10,5,8,11,7,4,19,5,8,9,13,16,14,14,11,6
07-Apr-2022,National,1368,1545,1625,1825,1494,970,660,325,127,48,6,4,6,6,5,5,14,7,9,3,10,3,5,8,6,5,17,9,8,3,10,5,3,10,8,7,11,8,9,4
08-Apr-2022,National,1331,1341,1263,1518,1298,819,552,307,110,30,16,3,6,7,9,11,11,9,7,1,13,1,5,8,9,9,9,2,6,4,14,2,8,10,8,7,14,7,11,4
09-Apr-2022,National,1095,1108,962,1250,987,652,415,205,68,21,8,3,2,5,4,6,5,7,7,3,13,4,3,5,5,8,6,11,6,3,16,1,6,4,3,4,9,9,3,1
10-Apr-2022,National,1116,1296,1172,1448,1144,770,432,191,62,17,9,1,3,4,2,8,5,3,5,2,10,2,3,7,6,9,10,5,6,4,9,6,5,4,3,11,4,4,2,2
11-Apr-2022,National,1675,1820,1807,1966,1590,1134,685,341,128,34,20,3,5,6,11,8,10,11,13,1,14,0,6,9,10,6,5,10,9,1,11,0,5,6,8,16,11,12,4,4
12-Apr-2022,National,1315,1514,1616,1758,1364,949,608,275,125,31,9,3,0,12,7,6,6,12,12,0,11,7,3,9,11,5,12,13,10,1,13,4,6,9,10,7,12,16,16,5
13-Apr-2022,National,1222,1422,1707,1826,1425,972,606,293,139,39,12,5,5,4,9,5,11,6,13,5,7,2,5,4,10,4,9,8,12,1,9,2,5,5,8,6,8,7,11,2
14-Apr-2022,National,939,1072,1258,1407,1272,898,531,306,128,36,5,2,4,10,5,13,11,12,14,1,6,4,1,8,3,11,7,12,11,1,10,6,3,6,11,8,15,14,7,3
15-Apr-2022,National,795,864,899,1051,864,597,407,191,72,22,11,0,4,1,3,9,10,10,6,5,14,0,5,4,4,8,9,7,4,4,9,1,2,6,9,7,8,5,6,2
16-Apr-2022,National,817,877,921,1018,912,644,428,215,100,35,10,2,3,2,4,4,4,8,8,4,13,1,2,2,5,1,10,11,14,4,11,1,1,1,1,5,4,10,11,1
17-Apr-2022,National,801,952,1030,1173,933,657,419,215,85,23,12,1,2,4,8,5,10,10,9,3,7,3,0,3,7,3,7,10,13,5,15,0,1,3,5,4,7,6,8,4
18-Apr-2022,National,902,1223,1586,1560,1280,886,585,281,74,33,10,4,4,5,8,9,10,11,8,7,9,3,6,5,3,10,6,4,8,6,12,3,2,4,6,8,9,9,6,0
19-Apr-2022,National,1236,1511,2059,2161,1617,1282,829,392,176,59,13,5,6,8,9,9,10,13,7,2,11,2,2,7,9,7,5,17,11,6,13,4,4,9,4,10,10,13,12,1
20-Apr-2022,National,1026,1355,1989,1888,1545,1169,779,367,161,64,10,5,3,4,8,10,4,7,10,5,7,5,8,8,4,8,14,15,8,3,8,3,9,3,9,5,14,15,12,7
21-Apr-2022,National,979,1262,1591,1676,1475,1125,759,392,152,53,8,5,9,7,6,6,9,16,16,3,10,5,7,4,7,11,8,16,16,5,4,4,3,8,10,7,13,13,14,8
22-Apr-2022,National,902,1034,1282,1320,1194,1058,670,337,149,53,11,1,3,7,6,13,12,11,15,4,10,1,6,9,7,11,7,12,11,4,13,4,9,9,6,12,11,12,20,6
23-Apr-2022,National,619,734,926,1020,878,710,474,240,87,17,8,1,2,8,1,4,5,8,6,0,9,3,1,5,5,3,5,7,10,2,9,1,5,8,6,5,9,7,4,1
24-Apr-2022,National,544,808,981,970,870,733,485,212,96,19,9,2,2,4,5,4,8,7,11,2,9,1,3,7,5,4,8,8,9,6,9,3,3,5,8,10,1,8,8,0
25-Apr-2022,National,550,830,1286,1224,1001,788,478,214,77,19,6,1,3,6,7,3,4,8,9,8,8,0,3,2,8,6,9,9,13,3,10,1,2,3,7,8,6,4,6,4
26-Apr-2022,National,827,1238,2082,1667,1388,1274,823,407,196,63,6,1,10,5,7,6,10,6,14,5,7,5,6,5,4,9,9,7,9,4,6,3,4,4,5,4,11,16,17,4
27-Apr-2022,National,667,1099,2089,1527,1264,1150,752,401,165,51,9,0,4,4,11,14,11,13,17,5,8,0,10,6,3,11,15,12,15,2,10,1,8,6,4,11,6,14,13,4
28-Apr-2022,National,666,1051,1634,1438,1234,1051,692,398,145,30,5,1,2,4,6,3,12,14,7,3,7,1,3,6,10,6,12,12,11,5,3,2,3,5,2,4,13,12,11,1
29-Apr-2022,National,684,902,1306,1185,974,957,588,356,146,40,7,3,3,6,3,8,10,7,9,3,8,1,1,6,3,10,9,9,8,4,8,3,4,8,6,8,11,10,8,3
30-Apr-2022,National,582,718,1090,906,828,747,480,282,100,27,6,2,2,3,5,6,5,13,4,2,6,3,2,5,6,1,6,9,9,3,8,3,2,1,6,7,5,8,7,1
01-May-2022,National,594,924,1231,1086,977,935,537,269,123,27,9,6,5,3,3,5,8,10,12,1,7,6,2,1,4,5,7,13,12,0,6,4,2,5,4,5,8,10,5,2
02-May-2022,National,759,1179,1766,1539,1299,1219,781,436,184,40,3,3,4,4,5,6,1,14,14,3,6,4,5,3,1,5,4,11,9,1,8,2,3,3,1,9,9,8,11,2
03-May-2022,National,634,1082,1828,1449,1187,1131,741,408,180,41,8,6,13,6,3,5,18,14,9,3,6,4,10,5,10,5,15,16,13,3,8,4,8,4,11,4,6,11,12,2
04-May-2022,National,611,1045,1911,1482,1168,1146,803,412,158,32,6,3,12,4,4,4,12,13,13,2,7,4,8,4,1,7,10,10,12,3,6,3,11,5,5,4,11,15,16,4
05-May-2022,National,637,895,1451,1246,1007,994,703,365,141,36,9,3,1,3,1,7,9,14,6,2,7,1,2,3,4,2,7,9,9,2,8,2,1,3,2,7,10,15,11,5
06-May-2022,National,627,901,1276,1045,912,901,643,352,141,41,8,0,4,6,9,6,2,13,9,3,7,2,4,3,10,5,7,12,8,0,3,2,4,5,8,4,5,10,12,3
07-May-2022,National,534,741,1040,1004,806,757,471,249,107,22,15,3,4,1,6,6,7,9,13,2,15,2,5,4,3,7,9,8,9,3,13,2,5,3,5,5,7,3,2,1
08-May-2022,National,566,1025,1140,1071,920,880,519,265,90,17,3,3,2,3,1,5,3,5,9,0,5,2,4,5,7,5,4,12,9,1,7,2,5,2,3,5,5,4,3,2
09-May-2022,National,946,1348,1657,1525,1338,1179,762,407,166,40,5,3,7,4,6,5,9,14,15,2,5,4,6,1,3,6,11,15,10,3,5,2,5,3,5,7,13,14,12,3
10-May-2022,National,722,1145,1528,1302,1176,1050,665,361,144,32,13,2,4,5,4,3,5,9,8,3,10,1,5,8,5,8,4,11,16,1,16,3,6,5,6,5,9,16,14,6
11-May-2022,National,739,1305,1861,1641,1420,1222,753,410,153,40,10,6,7,6,10,13,6,14,17,2,8,5,10,9,6,13,9,12,14,5,8,3,6,9,7,11,7,13,8,2
12-May-2022,National,700,1071,1273,1213,1173,951,620,365,154,30,6,7,11,5,5,11,16,7,10,3,7,6,9,3,6,8,11,7,11,2,5,2,7,4,6,12,7,16,11,1
13-May-2022,National,690,1080,1049,1157,1081,924,658,335,152,34,6,2,6,3,5,8,6,4,16,1,6,5,5,2,4,6,8,9,13,1,10,6,7,7,4,3,8,11,23,3
14-May-2022,National,518,928,848,949,977,771,491,235,100,20,5,4,1,6,6,7,8,9,9,5,9,1,5,4,4,6,6,11,6,4,7,2,6,3,7,10,3,6,3,0
15-May-2022,National,612,1133,1048,1215,1154,987,603,291,111,21,5,1,2,6,10,1,5,17,9,4,3,4,5,3,6,4,6,15,9,7,4,4,6,2,3,3,3,4,5,1
16-May-2022,National,898,1584,1550,1605,1488,1300,876,483,202,40,7,7,5,9,8,6,8,17,19,4,7,5,5,7,7,7,9,12,11,7,5,3,4,1,7,7,17,15,14,5
17-May-2022,National,843,1420,1584,1531,1536,1252,803,465,202,55,4,0,5,6,12,12,15,12,15,4,3,1,3,9,9,9,15,19,19,4,5,5,3,11,9,10,8,18,21,2
18-May-2022,National,673,1288,1447,1599,1443,1235,819,485,228,54,5,0,3,6,5,9,13,11,13,5,4,1,2,5,10,11,14,10,13,3,2,1,3,6,13,8,13,12,11,6
19-May-2022,National,644,1113,1140,1281,1298,1097,690,428,196,59,4,4,6,9,6,7,3,7,8,3,5,3,3,10,8,7,3,14,14,6,5,7,4,7,4,9,10,12,11,8
20-May-2022,National,614,1048,918,1000,1088,917,551,384,194,57,5,2,3,6,9,8,8,13,13,3,6,4,4,6,9,7,9,8,10,4,6,4,6,7,9,9,7,12,22,2
21-May-2022,National,426,785,743,791,822,715,451,249,79,22,6,0,6,2,2,2,4,13,4,3,6,0,5,4,4,8,6,12,9,5,4,0,2,7,9,5,4,8,8,2
22-May-2022,National,579,1031,838,963,993,840,500,222,94,27,9,2,4,1,3,6,4,8,9,4,6,3,5,4,9,5,3,8,10,2,8,1,5,6,7,4,4,7,4,2
23-May-2022,National,782,1395,1201,1304,1399,1118,773,407,182,46,7,2,3,6,5,10,10,7,8,3,6,1,3,5,1,5,3,8,5,3,7,2,5,4,5,5,4,12,11,5
24-May-2022,National,710,1189,1194,1365,1349,1087,761,424,193,39,6,2,4,9,6,10,14,9,12,11,10,2,3,4,4,8,15,7,17,3,4,2,5,3,4,5,9,17,17,7
25-May-2022,National,629,1066,1178,1291,1268,1071,673,399,148,36,6,4,4,3,5,3,5,10,12,3,6,4,4,7,7,6,7,8,8,5,12,3,5,7,6,9,8,7,9,2
26-May-2022,National,526,958,1032,1196,1132,997,650,343,159,40,3,1,3,5,3,8,4,8,10,3,1,1,6,4,5,6,5,9,14,2,2,2,5,3,5,6,7,7,14,1
27-May-2022,National,576,903,855,1021,1096,840,624,367,148,35,6,2,1,5,4,7,11,13,12,5,8,2,3,4,4,2,10,18,20,6,2,1,2,5,4,9,14,9,10,4
28-May-2022,National,412,712,627,823,781,689,495,277,72,24,6,2,1,4,1,5,9,17,7,6,6,3,0,4,2,4,6,10,8,5,9,0,2,2,3,4,6,9,7,3
29-May-2022,National,519,870,770,975,992,857,557,282,88,25,2,4,1,1,7,3,5,12,12,4,1,3,3,2,9,8,9,14,14,7,5,4,2,4,2,5,6,11,7,1
30-May-2022,National,736,1243,1168,1441,1346,1119,862,440,206,62,5,3,5,4,5,12,12,13,15,5,6,4,2,4,5,12,11,11,13,3,5,6,2,8,9,11,6,14,9,3
31-May-2022,National,682,1101,1190,1418,1330,1194,783,458,180,42,6,5,7,4,6,6,13,17,9,2,5,2,5,6,4,7,17,12,11,5,3,2,4,4,6,7,4,18,9,4
01-Jun-2022,National,587,846,1156,1315,1280,1194,862,510,222,62,5,2,4,7,6,9,9,19,21,7,5,3,6,3,7,8,12,17,13,9,2,2,3,4,7,8,14,13,18,5
02-Jun-2022,National,537,790,786,1042,1053,904,655,390,173,41,8,4,3,4,2,5,14,12,13,5,10,6,2,6,2,9,13,11,19,3,7,6,7,5,2,7,10,11,15,8
03-Jun-2022,National,520,794,752,1072,1075,884,665,436,180,41,8,3,3,7,6,3,8,14,14,4,7,1,6,2,6,5,10,20,9,3,8,2,4,4,6,6,13,15,18,5
04-Jun-2022,National,393,547,559,757,703,657,460,270,106,29,4,2,5,4,4,3,5,6,9,4,5,0,3,6,2,4,7,12,9,3,4,1,5,5,2,2,12,9,4,3
05-Jun-2022,National,454,564,552,708,775,650,419,257,88,25,3,1,0,5,7,4,5,14,6,2,2,2,1,4,6,3,5,13,7,2,7,1,1,3,6,4,1,14,2,0
06-Jun-2022,National,507,762,813,1016,1013,812,573,295,120,12,4,1,4,5,4,6,7,15,9,1,2,1,1,5,10,6,7,12,7,0,7,0,0,3,4,3,4,10,7,1
07-Jun-2022,National,655,877,975,1152,1108,1042,713,459,211,73,5,0,3,2,4,8,6,17,12,1,5,0,3,3,6,5,11,13,18,3,5,1,3,5,1,6,11,15,16,3
08-Jun-2022,National,635,886,1216,1335,1309,1174,883,482,161,53,5,2,6,7,6,6,12,10,16,3,5,3,7,7,3,8,12,13,12,2,1,3,6,4,6,9,13,23,18,4
09-Jun-2022,National,513,733,834,1070,1089,946,666,397,160,42,5,1,1,4,2,4,7,11,8,4,6,2,4,5,3,11,6,14,7,4,4,1,3,6,7,5,13,12,13,4
10-Jun-2022,National,415,537,783,857,816,775,569,319,163,27,3,0,7,1,3,5,9,7,10,3,3,2,4,4,3,8,7,9,9,2,7,2,7,5,1,12,10,13,12,6
11-Jun-2022,National,380,495,578,726,660,638,519,312,154,30,1,3,3,2,5,4,7,13,12,1,2,2,5,1,3,4,7,14,12,3,2,2,3,1,3,5,3,10,7,1
12-Jun-2022,National,358,529,667,745,727,698,472,239,97,21,7,2,2,2,6,7,7,10,12,4,5,2,2,3,3,2,6,9,11,3,4,2,3,5,3,1,2,6,6,0
